날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20170508,에이스테크(A088800),매수,4565,1592,매수로직 매수 - (매수가) 우선순위 : 1,-
20170508,STX엔진(A077970),매수,13050,554,매수로직 매수 - (매수가) 우선순위 : 2,-
20170508,크린앤사이언스(A045520),매도,12100,713.0,목표가매도,19.801980198019802%
20170510,크린앤사이언스(A045520),매수,13050,589,매수로직 매수 - (매수가) 우선순위 : 1,-
20170510,STX엔진(A077970),매도,15050,554.0,목표가매도,15.32567049808429%
20170511,에이스테크(A088800),매도,4560,1592.0,날짜지나 매도 : 20170508 ~ 20170511 설정가격매도,-0.10952902519167579%
20170512,네오오토(A212560),매수,9650,844.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170512,혜인(A003010),매수,5330,1528,매수로직 매수 - (매수가) 우선순위 : 2,-
20170515,크린앤사이언스(A045520),매도,12500,589,날짜지나 매도 : 20170510 ~ 20170515 설정가격매도,-4.21455938697318%
20170516,네오오토(A212560),매도,9690,844,날짜지나 매도 : 20170512 ~ 20170516 설정가격매도,0.41450777202072536%
20170516,혜인(A003010),매도,5410,1528,날짜지나 매도 : 20170512 ~ 20170516 설정가격매도,1.5009380863039399%
20170517,STX엔진(A077970),매수,15700,503,매수로직 매수 - (매수가) 우선순위 : 1,-
20170517,한신기계(A011700),매수,4535,1748,매수로직 매수 - (매수가) 우선순위 : 3,-
20170518,태양금속(A004100),매수,2750,2895,매수로직 매수 - (매수가) 우선순위 : 1,-
20170519,STX엔진(A077970),매도,15400,503,날짜지나 매도 : 20170517 ~ 20170519 설정가격매도,-1.910828025477707%
20170519,한신기계(A011700),매도,4385,1748,날짜지나 매도 : 20170517 ~ 20170519 설정가격매도,-3.307607497243661%
20170522,대원전선(A006340),매수,1480,5191,매수로직 매수 - (매수가) 우선순위 : 1,-
20170522,한국종합기술(A023350),매수,12250,627,매수로직 매수 - (매수가) 우선순위 : 2,-
20170522,태양금속(A004100),매도,2650,2895.0,날짜지나 매도 : 20170518 ~ 20170522 설정가격매도,-3.6363636363636362%
20170523,이화공영(A001840),매수,7640,982.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170524,대원전선(A006340),매도,1445,5191,날짜지나 매도 : 20170522 ~ 20170524 설정가격매도,-2.364864864864865%
20170525,한국종합기술(A023350),매도,11300,78.0,날짜지나 매도 : 20170522 ~ 20170525 설정가격매도,-7.755102040816326%
20170525,이화공영(A001840),매도,6620,982,날짜지나 매도 : 20170523 ~ 20170525 설정가격매도,-13.350785340314136%
20170526,시큐브(A131090),매수,1357,5191.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170526,한국종합기술(A023350),매도,11200,549,날짜지나 매도 : 20170522 ~ 20170526 설정가격매도,-8.571428571428571%
20170529,미원홀딩스(A107590),매수,121500,58,매수로직 매수 - (매수가) 우선순위 : 1,-
20170529,시큐브(A131090),매도,1563,5191.0,목표가매도,15.18054532056006%
20170531,대동스틸(A048470),매수,5370,1343.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170531,SK증권(A001510),매수,1546,4594,매수로직 매수 - (매수가) 우선순위 : 2,-
20170531,미원홀딩스(A107590),매도,118500,58,날짜지나 매도 : 20170529 ~ 20170531 설정가격매도,-2.4691358024691357%
20170601,대덕GDS(A004130),매수,17650,401.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170602,대동스틸(A048470),매도,5730,1343.0,날짜지나 매도 : 20170531 ~ 20170602 설정가격매도,6.70391061452514%
20170602,SK증권(A001510),매도,1335,4594,날짜지나 매도 : 20170531 ~ 20170602 설정가격매도,-13.648124191461836%
20170605,엔에스엔(A031860),매수,7089,1024.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170605,대덕GDS(A004130),매도,18550,401,날짜지나 매도 : 20170601 ~ 20170605 설정가격매도,5.099150141643059%
20170607,대웅(A003090),매수,14850,493,매수로직 매수 - (매수가) 우선순위 : 1,-
20170607,고려제약(A014570),매수,8440,868.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170608,엔에스엔(A031860),매도,7740,1024,날짜지나 매도 : 20170605 ~ 20170608 설정가격매도,9.183241641980533%
20170609,메디프론(A065650),매수,5496,1340,매수로직 매수 - (매수가) 우선순위 : 1,-
20170609,대웅(A003090),매도,15250,493,날짜지나 매도 : 20170607 ~ 20170609 설정가격매도,2.6936026936026933%
20170609,고려제약(A014570),매도,8110,868,날짜지나 매도 : 20170607 ~ 20170609 설정가격매도,-3.909952606635071%
20170612,케이씨텍(A029460),매수,17874,421,매수로직 매수 - (매수가) 우선순위 : 1,-
20170613,넥센테크(A073070),매수,2160,3473.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170613,메디프론(A065650),매도,5690,1340.0,날짜지나 매도 : 20170609 ~ 20170613 설정가격매도,3.529839883551674%
20170613,케이씨텍(A029460),매도,20535,421.0,목표가매도,14.887546156428332%
20170614,투윈글로벌(A066410),매수,8064,984,매수로직 매수 - (매수가) 우선순위 : 2,-
20170615,넥센테크(A073070),매도,2170,3473,날짜지나 매도 : 20170613 ~ 20170615 설정가격매도,0.4629629629629629%
20170616,감마누(A192410),매수,5427,1415,매수로직 매수 - (매수가) 우선순위 : 2,-
20170616,투윈글로벌(A066410),매도,7496,984,날짜지나 매도 : 20170614 ~ 20170616 설정가격매도,-7.0436507936507935%
20170619,테고사이언스(A191420),매수,42750,182,매수로직 매수 - (매수가) 우선순위 : 2,-
20170620,감마누(A192410),매도,5877,1415,날짜지나 매도 : 20170616 ~ 20170620 설정가격매도,8.291873963515755%
20170621,한신기계(A011700),매수,4739,1685.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170621,에코바이오(A038870),매수,11750,680.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170621,테고사이언스(A191420),매도,45050,182,날짜지나 매도 : 20170619 ~ 20170621 설정가격매도,5.380116959064328%
20170622,감마누(A192410),매수,6465,1198,매수로직 매수 - (매수가) 우선순위 : 1,-
20170623,한신기계(A011700),매도,3985,1685,날짜지나 매도 : 20170621 ~ 20170623 설정가격매도,-15.91052964760498%
20170623,에코바이오(A038870),매도,11750,680.0,날짜지나 매도 : 20170621 ~ 20170623 설정가격매도,0.0%
20170626,감마누(A192410),매도,7052,1198,날짜지나 매도 : 20170622 ~ 20170626 설정가격매도,9.079659706109823%
20170627,타이거일렉(A219130),매수,8340,934.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170628,코스모화학(A005420),매수,10250,752,매수로직 매수 - (매수가) 우선순위 : 1,-
20170628,STX엔진(A077970),매수,18950,407.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170629,타이거일렉(A219130),매도,8320,934,날짜지나 매도 : 20170627 ~ 20170629 설정가격매도,-0.2398081534772182%
20170630,타이거일렉(A219130),매수,9140,866.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170630,코스모화학(A005420),매도,10300,752.0,날짜지나 매도 : 20170628 ~ 20170630 설정가격매도,0.4878048780487805%
20170630,STX엔진(A077970),매도,19900,213.0,날짜지나 매도 : 20170628 ~ 20170630 설정가격매도,5.013192612137203%
20170703,STX엔진(A077970),매도,19079,194.0,날짜지나 매도 : 20170628 ~ 20170703 설정가격매도,0.6807387862796834%
20170704,중앙오션(A054180),매수,2540,3107,매수로직 매수 - (매수가) 우선순위 : 1,-
20170704,타이거일렉(A219130),매도,9330,866,날짜지나 매도 : 20170630 ~ 20170704 설정가격매도,2.0787746170678334%
20170705,중앙오션(A054180),매도,2924,3107.0,목표가매도,15.118110236220472%
20170706,나노신소재(A121600),매수,17800,464.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170706,중앙오션(A054180),매수,2695,3069.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170710,일진머티리얼즈(A020150),매수,32431,259.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170710,나노신소재(A121600),매도,18150,464,날짜지나 매도 : 20170706 ~ 20170710 설정가격매도,1.9662921348314606%
20170711,중앙오션(A054180),매도,2600,3069,날짜지나 매도 : 20170706 ~ 20170711 설정가격매도,-3.525046382189239%
20170712,코스모화학(A005420),매수,12650,666,매수로직 매수 - (매수가) 우선순위 : 1,-
20170712,일진머티리얼즈(A020150),매도,35045,259.0,날짜지나 매도 : 20170710 ~ 20170712 설정가격매도,8.06018932502852%
20170714,일진다이아(A081000),매수,11500,683,매수로직 매수 - (매수가) 우선순위 : 1,-
20170714,코스모화학(A005420),매도,11450,666,날짜지나 매도 : 20170712 ~ 20170714 설정가격매도,-9.486166007905137%
20170717,엠젠플러스(A032790),매수,9950,798,매수로직 매수 - (매수가) 우선순위 : 1,-
20170718,일진다이아(A081000),매도,11200,683,날짜지나 매도 : 20170714 ~ 20170718 설정가격매도,-2.608695652173913%
20170719,코스모신소재(A005070),매수,8650,905,매수로직 매수 - (매수가) 우선순위 : 1,-
20170719,엠젠플러스(A032790),매도,9350,798,날짜지나 매도 : 20170717 ~ 20170719 설정가격매도,-6.030150753768844%
20170720,아이리버(A060570),매수,7900,1027,매수로직 매수 - (매수가) 우선순위 : 1,-
20170721,코스모신소재(A005070),매도,9131,905,날짜지나 매도 : 20170719 ~ 20170721 설정가격매도,5.5606936416184976%
20170725,코스모신소재(A005070),매수,10733,734.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170725,일진머티리얼즈(A020150),매수,39300,200,매수로직 매수 - (매수가) 우선순위 : 2,-
20170725,아이리버(A060570),매도,7450,1027,날짜지나 매도 : 20170720 ~ 20170725 설정가격매도,-5.69620253164557%
20170726,큐캐피탈(A016600),매수,1205,5296,매수로직 매수 - (매수가) 우선순위 : 1,-
20170727,코스모신소재(A005070),매도,11734,734,날짜지나 매도 : 20170725 ~ 20170727 설정가격매도,9.326376595546446%
20170727,일진머티리얼즈(A020150),매도,36750,200,날짜지나 매도 : 20170725 ~ 20170727 설정가격매도,-6.488549618320611%
20170728,파루(A043200),매수,5630,1356.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170728,큐캐피탈(A016600),매도,1025,5296.0,날짜지나 매도 : 20170726 ~ 20170728 설정가격매도,-14.937759336099585%
20170731,코나아이(A052400),매수,12600,605,매수로직 매수 - (매수가) 우선순위 : 1,-
