날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20100622,신성이엔지(A104110),매도,2758,1147,날짜지나 매도 (전일종가) : 2010/06/18 ~ 2010/06/22 ,2.718808193668529%
20100624,코데즈컴바인(A047770),매수,251000,12,매수로직 매수 - (매수가)  우선순위 : 1,-
20100624,에스엠(A041510),매도,12158,258,날짜지나 매도 (전일종가) : 2010/06/22 ~ 2010/06/24 ,0.8962655601659751%
20100625,코데즈컴바인(A047770),매도,288700,12,목표가 매도,15.019920318725099%
20100628,젬백스(A082270),매수,6690,486,매수로직 매수 - (매수가)  우선순위 : 2,-
20100630,젬백스(A082270),매도,7600,486,날짜지나 매도 (전일종가) : 2010/06/28 ~ 2010/06/30 ,13.602391629297458%
20100702,한국화장품제조(A003350),매수,9420,360,매수로직 매수 - (매수가)  우선순위 : 1,-
20100705,신성이엔지(A104110),매수,2833,1168,매수로직 매수 - (시초가)  우선순위 : 1,-
20100705,바른전자(A064520),매수,3120,1061,매수로직 매수 - (매수가)  우선순위 : 2,-
20100706,한국화장품제조(A003350),매도,8050,360,날짜지나 매도 (전일종가) : 2010/07/02 ~ 2010/07/06 ,-14.543524416135881%
20100707,신성이엔지(A104110),매도,2778,1168,날짜지나 매도 (전일종가) : 2010/07/05 ~ 2010/07/07 ,-1.941404871161313%
20100707,바른전자(A064520),매도,3132,1061,날짜지나 매도 (전일종가) : 2010/07/05 ~ 2010/07/07 ,0.38461538461538464%
20100708,대우부품(A009320),매수,7620,421,매수로직 매수 - (매수가)  우선순위 : 2,-
20100712,코나아이(A052400),매수,10450,305,매수로직 매수 - (매수가)  우선순위 : 1,-
20100712,대우부품(A009320),매도,7605,421,날짜지나 매도 (전일종가) : 2010/07/08 ~ 2010/07/12 ,-0.19685039370078738%
20100714,코나아이(A052400),매도,10642,305,날짜지나 매도 (전일종가) : 2010/07/12 ~ 2010/07/14 ,1.8373205741626795%
20100719,넥스트바이오홀딩스(A051980),매수,3220,999,매수로직 매수 - (매수가)  우선순위 : 1,-
20100720,젬백스(A082270),매수,12550,253,매수로직 매수 - (매수가)  우선순위 : 1,-
20100721,넥스트바이오홀딩스(A051980),매도,3100,999,날짜지나 매도 (전일종가) : 2010/07/19 ~ 2010/07/21 ,-3.7267080745341614%
20100722,큐로컴(A040350),매수,1625,1888,매수로직 매수 - (매수가)  우선순위 : 1,-
20100722,젬백스(A082270),매도,11250,253,날짜지나 매도 (전일종가) : 2010/07/20 ~ 2010/07/22 ,-10.358565737051793%
20100723,넥스트바이오홀딩스(A051980),매수,3305,889,매수로직 매수 - (시초가)  우선순위 : 1,-
